pin_position;weld_time;energy_input;laser_energy;stator_id;ProduktID;Pinbezeichnung;Ergebnis;Pinspitze_X;Pinspitze_Y;Abstand_Pins_horizontal;Abstand_Pins_vertikal;Breite;Laenge;Anzahl_Kreise;min_relative_Hoehe;max_Abweichung_Konzentrizitaet;left_pin_id;right_pin_id;Drahtprüfung_Ergebnis_x;Pin_ID_x;Differenz_Abisolierposition_x;Differenz_Abisolierlaenge_max_x;Differenz_Abisoliermitte_max_x;Isolations-Einzeldefektflaeche_max_x;Isolations-Gesamtdefektflaeche_x;Abisolierungs-Einzeldefektflaeche_max_x;Abisolierungs-Gesamtdefektflaeche_x;Dachbiegen_Ergebnis_x;Pin_Type_x;Dachwinkel_links_x;Dachwinkel_rechts_x;Schenkelwinkel_links_x;Schenkelwinkel_rechts_x;Winkelsumme_x;Dachlaenge_x;Schulterlaenge_links_x;Schulterlaenge_rechts_x;Pinbreite_Fuss_x;Schenkellaenge_links_x;Schenkellaenge_rechts_x;Praegung_links_x;Praegung_rechts_x;3D_Biegen_Ergebnis_x;X_x;Y_x;Verdrehung_x;Abweichung_relativ_x;Winkel_relativ_x;Verdrehung_relativ_x;schnittkraft_x;praegekraft_x;cutting_machine_x;forming_machine_x;Abisolieren_Cluster_x;Abisolieren_eval_x;Dachbiegen_Cluster_x;3D_Biegen_Cluster_x;Schneiden_Cluster_x;Drahtprüfung_Ergebnis_y;Pin_ID_y;Differenz_Abisolierposition_y;Differenz_Abisolierlaenge_max_y;Differenz_Abisoliermitte_max_y;Isolations-Einzeldefektflaeche_max_y;Isolations-Gesamtdefektflaeche_y;Abisolierungs-Einzeldefektflaeche_max_y;Abisolierungs-Gesamtdefektflaeche_y;Dachbiegen_Ergebnis_y;Pin_Type_y;Dachwinkel_links_y;Dachwinkel_rechts_y;Schenkelwinkel_links_y;Schenkelwinkel_rechts_y;Winkelsumme_y;Dachlaenge_y;Schulterlaenge_links_y;Schulterlaenge_rechts_y;Pinbreite_Fuss_y;Schenkellaenge_links_y;Schenkellaenge_rechts_y;Praegung_links_y;Praegung_rechts_y;3D_Biegen_Ergebnis_y;X_y;Y_y;Verdrehung_y;Abweichung_relativ_y;Winkel_relativ_y;Verdrehung_relativ_y;schnittkraft_y;praegekraft_y;cutting_machine_y;forming_machine_y
41S1;1687160564;713;3850;0EH902171E;#0EH902171E    ###*1PS VWS65J0F51J*=;41S1;IO;196,5;27,6;0;11,60;3,3;6,2;10;1,7;0,2;330EH959969G 019062306981;330EH959969F 119062307017;Pass;330EH959969G 019062306981;1,062031801;0,371416484;-0,443303383;0;0;0;0;Pass;AB1060;44,39962131;40,25353991;47,46222632;48,36672224;-0,482109777;15,804899;30,57364776;30,78467125;64,96857938;250,9601859;253,0673863;0,911414234;0,925129264;Pass;-14,68366115;-2,984933494;14,93355179;1,309610874;-40,79781519;-0,586636358;3,68775;1,5343;50;33;3;Gut;1;2;0;Pass;330EH959969F 119062307017;1,167699718;0,371416484;0,488385082;0;0;0;0;Pass;AB1081;45,26234936;39,80079998;47,53696105;48,15645023;-0,756560619;19,83798685;44,4875644;44,93457156;88,36635063;249,4724244;262,2060052;0,91486928;0,916315954;Pass;7,419544574;-1,93781517;0,8140883;2,845048494;-36,79346965;0,080861971;;;;33
41S1;1687160564;713;3850;0EH902171E;#0EH902171E    ###*1PS VWS65J0F51J*=;41S1;IO;196,5;27,6;0;11,60;3,3;6,2;10;1,7;0,2;330EH959969G 019062306981;330EH959969F 119062307017;Pass;330EH959969G 019062306981;1,062031801;0,371416484;-0,443303383;0;0;0;0;Pass;AB1060;44,39962131;40,25353991;47,46222632;48,36672224;-0,482109777;15,804899;30,57364776;30,78467125;64,96857938;250,9601859;253,0673863;0,911414234;0,925129264;Pass;-14,68366115;-2,984933494;14,93355179;1,309610874;-40,79781519;-0,586636358;;;;33;3;Gut;1;2;0;Pass;330EH959969F 119062307017;1,167699718;0,371416484;0,488385082;0;0;0;0;Pass;AB1081;45,26234936;39,80079998;47,53696105;48,15645023;-0,756560619;19,83798685;44,4875644;44,93457156;88,36635063;249,4724244;262,2060052;0,91486928;0,916315954;Pass;7,419544574;-1,93781517;0,8140883;2,845048494;-36,79346965;0,080861971;3,576;1,55262;50;33
41S1;1687160564;713;3850;0EH902171E;#0EH902171E    ###*1PS VWS65J0F51J*=;41S1;IO;196,5;27,6;0;11,60;3,3;6,2;10;1,7;0,2;330EH959969G 019062306981;330EH959969F 119062307017;Pass;330EH959969G 019062306981;1,062031801;0,371416484;-0,443303383;0;0;0;0;Pass;AB1060;44,39962131;40,25353991;47,46222632;48,36672224;-0,482109777;15,804899;30,57364776;30,78467125;64,96857938;250,9601859;253,0673863;0,911414234;0,925129264;Pass;-14,68366115;-2,984933494;14,93355179;1,309610874;-40,79781519;-0,586636358;;;;33;3;Gut;1;2;0;Pass;330EH959969F 119062307017;1,167699718;0,371416484;0,488385082;0;0;0;0;Pass;AB1081;45,26234936;39,80079998;47,53696105;48,15645023;-0,756560619;19,83798685;44,4875644;44,93457156;88,36635063;249,4724244;262,2060052;0,91486928;0,916315954;Pass;7,419544574;-1,93781517;0,8140883;2,845048494;-36,79346965;0,080861971;;;;33
45S1;1687160571;714;3850;0EH902171E;#0EH902171E    ###*1PS VWS65J0F51J*=;45S1;IO;243,6;28,1;0;11,60;3,4;6,1;10;1,6;0,2;330EH959969G 019062306977;330EH959969F 119062307013;Pass;330EH959969G 019062306977;0,879286558;0,431525418;-0,465844233;0;0;0;0;Pass;AB1060;44,34604949;40,24452013;47,46173049;48,36257931;-0,414879422;15,79996575;30,56212329;30,7875619;65,18933511;250,9997393;253,022072;0,891286133;0,928291554;Pass;-14,75569735;-2,744854333;14,87191486;1,106439377;-33,80638075;-0,648273287;3,576;1,55262;50;33;3;Gut;1;2;0;Pass;330EH959969F 119062307013;0,874953396;0,431525418;0,488385082;0,027824696;0,027824696;0;0;Pass;AB1081;44,46257783;40,61595035;47,53390759;48,11957561;-0,732011377;19,83149005;44,28956515;45,1350707;88,50076544;249,4750213;262,1210286;0,909367797;0,936512439;Pass;7,31164446;-0,448263008;0,439508873;2,180981397;-5,642575981;-0,293717456;3,6803;1,5572;50;33
45S1;1687160571;714;3850;0EH902171E;#0EH902171E    ###*1PS VWS65J0F51J*=;45S1;IO;243,6;28,1;0;11,60;3,4;6,1;10;1,6;0,2;330EH959969G 019062306977;330EH959969F 119062307013;Pass;330EH959969G 019062306977;0,879286558;0,431525418;-0,465844233;0;0;0;0;Pass;AB1060;44,34604949;40,24452013;47,46173049;48,36257931;-0,414879422;15,79996575;30,56212329;30,7875619;65,18933511;250,9997393;253,022072;0,891286133;0,928291554;Pass;-14,75569735;-2,744854333;14,87191486;1,106439377;-33,80638075;-0,648273287;3,576;1,55262;50;33;3;Gut;1;2;0;Pass;330EH959969F 119062307013;0,874953396;0,431525418;0,488385082;0,027824696;0,027824696;0;0;Pass;AB1081;44,46257783;40,61595035;47,53390759;48,11957561;-0,732011377;19,83149005;44,28956515;45,1350707;88,50076544;249,4750213;262,1210286;0,909367797;0,936512439;Pass;7,31164446;-0,448263008;0,439508873;2,180981397;-5,642575981;-0,293717456;;;;33
45S1;1687160571;714;3850;0EH902171E;#0EH902171E    ###*1PS VWS65J0F51J*=;45S1;IO;243,6;28,1;0;11,60;3,4;6,1;10;1,6;0,2;330EH959969G 019062306977;330EH959969F 119062307013;Pass;330EH959969G 019062306977;0,879286558;0,431525418;-0,465844233;0;0;0;0;Pass;AB1060;44,34604949;40,24452013;47,46173049;48,36257931;-0,414879422;15,79996575;30,56212329;30,7875619;65,18933511;250,9997393;253,022072;0,891286133;0,928291554;Pass;-14,75569735;-2,744854333;14,87191486;1,106439377;-33,80638075;-0,648273287;;;;33;3;Gut;1;2;0;Pass;330EH959969F 119062307013;0,874953396;0,431525418;0,488385082;0,027824696;0,027824696;0;0;Pass;AB1081;44,46257783;40,61595035;47,53390759;48,11957561;-0,732011377;19,83149005;44,28956515;45,1350707;88,50076544;249,4750213;262,1210286;0,909367797;0,936512439;Pass;7,31164446;-0,448263008;0,439508873;2,180981397;-5,642575981;-0,293717456;3,6803;1,5572;50;33
45S1;1687160571;714;3850;0EH902171E;#0EH902171E    ###*1PS VWS65J0F51J*=;45S1;IO;243,6;28,1;0;11,60;3,4;6,1;10;1,6;0,2;330EH959969G 019062306977;330EH959969F 119062307013;Pass;330EH959969G 019062306977;0,879286558;0,431525418;-0,465844233;0;0;0;0;Pass;AB1060;44,34604949;40,24452013;47,46173049;48,36257931;-0,414879422;15,79996575;30,56212329;30,7875619;65,18933511;250,9997393;253,022072;0,891286133;0,928291554;Pass;-14,75569735;-2,744854333;14,87191486;1,106439377;-33,80638075;-0,648273287;;;;33;3;Gut;1;2;0;Pass;330EH959969F 119062307013;0,874953396;0,431525418;0,488385082;0,027824696;0,027824696;0;0;Pass;AB1081;44,46257783;40,61595035;47,53390759;48,11957561;-0,732011377;19,83149005;44,28956515;45,1350707;88,50076544;249,4750213;262,1210286;0,909367797;0,936512439;Pass;7,31164446;-0,448263008;0,439508873;2,180981397;-5,642575981;-0,293717456;;;;33
09S1;1687165943;711;3850;0EH902171E;#0EH902171E    ###*1PS VWS65J0IO1+*=;09S1;IO;387;29,8;0;11,60;3,4;6,2;10;1,7;0,2;330EH959969G 019062307176;330EH959969F 019062307189;Pass;330EH959969G 019062307176;0,935107829;0,311307551;0,458330616;0;0;0;0;Pass;AB1060;44,43802641;40,32564121;47,47603225;48,34962342;-0,589323288;15,79694233;30,54148534;30,78575637;64,66091284;250,9737754;253,1953692;0,908424964;0,922875522;Pass;-14,48956819;-4,096860074;14,59784901;2,297152169;-58,93090399;-0,922339139;;;;33;4;Gut;1;2;0;Pass;330EH959969F 019062307189;1,03467432;0,191089685;-0,450816999;0;0;0,389057299;0,919040284;Pass;AB1080;45,33613449;39,86138579;47,54391242;48,14537897;-0,886811667;19,85212972;44,4548402;44,91692363;87,90346039;249,9446419;250,8170857;0,900858276;0,938614497;Pass;7,362320996;-0,869938525;1,444336299;2,424989233;-19,24036681;0,982844467;;;;33
09S1;1687165943;711;3850;0EH902171E;#0EH902171E    ###*1PS VWS65J0IO1+*=;09S1;IO;387;29,8;0;11,60;3,4;6,2;10;1,7;0,2;330EH959969G 019062307176;330EH959969F 019062307189;Pass;330EH959969G 019062307176;0,935107829;0,311307551;0,458330616;0;0;0;0;Pass;AB1060;44,43802641;40,32564121;47,47603225;48,34962342;-0,589323288;15,79694233;30,54148534;30,78575637;64,66091284;250,9737754;253,1953692;0,908424964;0,922875522;Pass;-14,48956819;-4,096860074;14,59784901;2,297152169;-58,93090399;-0,922339139;;;;33;4;Gut;1;2;0;Pass;330EH959969F 019062307189;1,03467432;0,191089685;-0,450816999;0;0;0,389057299;0,919040284;Pass;AB1080;45,33613449;39,86138579;47,54391242;48,14537897;-0,886811667;19,85212972;44,4548402;44,91692363;87,90346039;249,9446419;250,8170857;0,900858276;0,938614497;Pass;7,362320996;-0,869938525;1,444336299;2,424989233;-19,24036681;0,982844467;3,59835;1,52514;50;33
09S1;1687165943;711;3850;0EH902171E;#0EH902171E    ###*1PS VWS65J0IO1+*=;09S1;IO;387;29,8;0;11,60;3,4;6,2;10;1,7;0,2;330EH959969G 019062307176;330EH959969F 019062307189;Pass;330EH959969G 019062307176;0,935107829;0,311307551;0,458330616;0;0;0;0;Pass;AB1060;44,43802641;40,32564121;47,47603225;48,34962342;-0,589323288;15,79694233;30,54148534;30,78575637;64,66091284;250,9737754;253,1953692;0,908424964;0,922875522;Pass;-14,48956819;-4,096860074;14,59784901;2,297152169;-58,93090399;-0,922339139;3,55365;1,52972;50;33;4;Gut;1;2;0;Pass;330EH959969F 019062307189;1,03467432;0,191089685;-0,450816999;0;0;0,389057299;0,919040284;Pass;AB1080;45,33613449;39,86138579;47,54391242;48,14537897;-0,886811667;19,85212972;44,4548402;44,91692363;87,90346039;249,9446419;250,8170857;0,900858276;0,938614497;Pass;7,362320996;-0,869938525;1,444336299;2,424989233;-19,24036681;0,982844467;;;;33
